Put 5, -3, 0, -5, 64, 3, -6, 1, -1 in decreasing order.
64, 5, 3, 1, 0, -1, -3, -5, -6
Sort 8, 1, -2386, 2, 12, 0, 4, 6, 3.
-2386, 0, 1, 2, 3, 4, 6, 8, 12
Sort 3, 57, -1, 2, 79, 16, 0, 1, 22 in descending order.
79, 57, 22, 16, 3, 2, 1, 0, -1
Put 3, 7, 70, -5, 29, 2, 5, -2, 1 in decreasing order.
70, 29, 7, 5, 3, 2, 1, -2, -5
Sort -1, 83, 3, 9, 1, 38, 2, 10, -3.
-3, -1, 1, 2, 3, 9, 10, 38, 83
Put -4, 36, 0, 3, 24, 97, -7, 5, 2 in decreasing order.
97, 36, 24, 5, 3, 2, 0, -4, -7
Sort -14, 17, -1, 2, 7, 1, 6, 3, -2 in descending order.
17, 7, 6, 3, 2, 1, -1, -2, -14
Put 4, 21, 3, -6, 6, 14, -4, 1, -3 in decreasing order.
21, 14, 6, 4, 3, 1, -3, -4, -6
Put 2, 5, -7, 0, 4, 54, 7, -5, -48 in descending order.
54, 7, 5, 4, 2, 0, -5, -7, -48
Sort 37, 4, 22, 6, 0, -15, 70, 1, 2.
-15, 0, 1, 2, 4, 6, 22, 37, 70
